source_group,source_name,source_url,source_year,record_no,date_text,location_text,category_text,body_text,confirmed_date,raw_html_file,parse_note
千歳市,千歳市 2026年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1006598.html,2026,16,６月３日(水曜日)午後4時40分頃,千歳市真町の青葉公園のおはよう橋から園路に入って東に100m付近,目撃,６月３日(水曜日)午後4時40分頃、千歳市真町の青葉公園のおはよう橋から園路に入って東に100m付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2026_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2026年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1006598.html,2026,15,5月31日(日曜日)午前7時20分頃,千歳市泉沢の青葉公園のサッカー場付近,目撃,5月31日(日曜日)午前7時20分頃、千歳市泉沢の青葉公園のサッカー場付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2026_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2026年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1006598.html,2026,14,5月29日(金曜日)午後4時15分頃,千歳市水明郷の道道支笏湖公園線（16号線）の中央バス孵化場入口バス停から支笏湖方面に約1.3キロメートル進んだ付近の道路上,目撃,5月29日(金曜日)午後4時15分頃、千歳市水明郷の道道支笏湖公園線（16号線）の中央バス孵化場入口バス停から支笏湖方面に約1.3キロメートル進んだ付近の道路上でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2026_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2026年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1006598.html,2026,13,5月25日(月曜日)午後9時56分頃,千歳市泉沢の青葉公園の芝生広場付近の道央自動車道高架下,目撃,5月25日(月曜日)午後9時56分頃、千歳市泉沢の青葉公園の芝生広場付近の道央自動車道高架下でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2026_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2026年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1006598.html,2026,12,5月22日(金曜日)午後20時38分頃,千歳市泉沢の道道支笏湖公園線（16号線）の烏柵舞橋から支笏湖方面に約700メートル進んだ付近の道路上,目撃,5月22日(金曜日)午後20時38分頃、千歳市泉沢の道道支笏湖公園線（16号線）の烏柵舞橋から支笏湖方面に約700メートル進んだ付近の道路上でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2026_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2026年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1006598.html,2026,11,5月14日(木曜日)午前9時15分頃,千歳市水明郷の道道支笏湖公園線（16号線）の水明郷パーキングから支笏湖方面に約1キロメートル進んだ付近のサイクリングロード上,目撃,5月14日(木曜日)午前9時15分頃、千歳市水明郷の道道支笏湖公園線（16号線）の水明郷パーキングから支笏湖方面に約1キロメートル進んだ付近のサイクリングロード上でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2026_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2026年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1006598.html,2026,10,5月13日(水曜日)午前4時55分頃,千歳市水明郷の道道支笏湖公園線（16号線）の王子製紙第一発電所付近のカーブ,目撃,5月13日(水曜日)午前4時55分頃、千歳市水明郷の道道支笏湖公園線（16号線）の王子製紙第一発電所付近のカーブでクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2026_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2026年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1006598.html,2026,9,5月12日(火曜日)午後1時05分頃,千歳市水明郷の道道支笏湖公園線（16号線）の王子製紙第一発電所付近のカーブから東へ約500メートル進んだサイクリングロード付近,目撃,5月12日(火曜日)午後1時05分頃、千歳市水明郷の道道支笏湖公園線（16号線）の王子製紙第一発電所付近のカーブから東へ約500メートル進んだサイクリングロード付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2026_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2026年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1006598.html,2026,8,5月9日(土曜日)午後19時09分頃,千歳市支寒内の国道276号線、洞門橋付近,目撃,5月9日(土曜日)午後19時09分頃、千歳市支寒内の国道276号線、洞門橋付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2026_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2026年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1006598.html,2026,7,5月8日(金曜日)午後1時10分頃,千歳市水明郷の道道支笏湖公園線（16号線）の中央バス第一発電所バス停から東へ2.5キロメートルの地点,目撃,5月8日(金曜日)午後1時10分頃、千歳市水明郷の道道支笏湖公園線（16号線）の中央バス第一発電所バス停から東へ2.5キロメートルの地点でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2026_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
