source_year,record_no,date_text,location_text,category_text,body_text,pin_label_draft,matched_keywords,map_search_query,google_maps_search_url,map_review_status,map_review_note,confirmed_location_memo
2025,51,9月24日(水曜日) 午後6時30分頃,千歳市美笛の国道276号から道道支笏湖線（78号線）へ約300メートル進んだ付近,目撃,9月24日(水曜日) 午後6時30分頃、千歳市美笛の国道276号から道道支笏湖線（78号線）へ約300メートル進んだ付近で東から西へ横断するクマの目撃情報がありました。十分ご注意ください。,2025.09 目撃,"美笛, 支笏湖, 道道支笏湖線, 国道276号",北海道 千歳市美笛の国道276号から道道支笏湖線（78号線）へ約300メートル進んだ付近,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%20%E5%8D%83%E6%AD%B3%E5%B8%82%E7%BE%8E%E7%AC%9B%E3%81%AE%E5%9B%BD%E9%81%93276%E5%8F%B7%E3%81%8B%E3%82%89%E9%81%93%E9%81%93%E6%94%AF%E7%AC%8F%E6%B9%96%E7%B7%9A%EF%BC%8878%E5%8F%B7%E7%B7%9A%EF%BC%89%E3%81%B8%E7%B4%84300%E3%83%A1%E3%83%BC%E3%83%88%E3%83%AB%E9%80%B2%E3%82%93%E3%81%A0%E4%BB%98%E8%BF%91,未確認,,
2024,56,10月31日(木曜日) 午前5時30分頃,千歳市美笛の国道276号の美笛トンネル東側の駐車帯付近,目撃,10月31日(木曜日) 午前5時30分頃、千歳市美笛の国道276号の美笛トンネル東側の駐車帯付近で南から北へ横断するクマの目撃情報がありました。十分ご注意ください。,2024.10 目撃,"美笛トンネル, 美笛, 国道276号",北海道 千歳市美笛の国道276号の美笛トンネル東側の駐車帯付近,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%20%E5%8D%83%E6%AD%B3%E5%B8%82%E7%BE%8E%E7%AC%9B%E3%81%AE%E5%9B%BD%E9%81%93276%E5%8F%B7%E3%81%AE%E7%BE%8E%E7%AC%9B%E3%83%88%E3%83%B3%E3%83%8D%E3%83%AB%E6%9D%B1%E5%81%B4%E3%81%AE%E9%A7%90%E8%BB%8A%E5%B8%AF%E4%BB%98%E8%BF%91,未確認,,
2023,40,9月24日(日曜日) 午後7時50分頃,千歳市美笛の国道276号の美笛トンネルから伊達市方面へ約200メートル進んだ付近,目撃,9月24日(日曜日) 午後7時50分頃、千歳市美笛の国道276号の美笛トンネルから伊達市方面へ約200メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,2023.09 目撃,"美笛トンネル, 美笛, 国道276号",北海道 千歳市美笛の国道276号の美笛トンネルから伊達市方面へ約200メートル進んだ付近,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%20%E5%8D%83%E6%AD%B3%E5%B8%82%E7%BE%8E%E7%AC%9B%E3%81%AE%E5%9B%BD%E9%81%93276%E5%8F%B7%E3%81%AE%E7%BE%8E%E7%AC%9B%E3%83%88%E3%83%B3%E3%83%8D%E3%83%AB%E3%81%8B%E3%82%89%E4%BC%8A%E9%81%94%E5%B8%82%E6%96%B9%E9%9D%A2%E3%81%B8%E7%B4%84200%E3%83%A1%E3%83%BC%E3%83%88%E3%83%AB%E9%80%B2%E3%82%93%E3%81%A0%E4%BB%98%E8%BF%91,未確認,,
2023,32,7月10日(月曜日) 午前10時40分頃,千歳市美笛の道道支笏湖線（78号線）の美笛橋から南に約400メートル進んだ付近,目撃,7月10日(月曜日) 午前10時40分頃、千歳市美笛の道道支笏湖線（78号線）の美笛橋から南に約400メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,2023.07 目撃,"美笛橋, 美笛, 支笏湖, 道道支笏湖線",北海道 千歳市美笛の道道支笏湖線（78号線）の美笛橋から南に約400メートル進んだ付近,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%20%E5%8D%83%E6%AD%B3%E5%B8%82%E7%BE%8E%E7%AC%9B%E3%81%AE%E9%81%93%E9%81%93%E6%94%AF%E7%AC%8F%E6%B9%96%E7%B7%9A%EF%BC%8878%E5%8F%B7%E7%B7%9A%EF%BC%89%E3%81%AE%E7%BE%8E%E7%AC%9B%E6%A9%8B%E3%81%8B%E3%82%89%E5%8D%97%E3%81%AB%E7%B4%84400%E3%83%A1%E3%83%BC%E3%83%88%E3%83%AB%E9%80%B2%E3%82%93%E3%81%A0%E4%BB%98%E8%BF%91,未確認,,
2023,28,6月17日(土曜日) 午後7時00分頃,千歳市美笛の国道276号線の春笛橋付近,目撃,6月17日(土曜日) 午後7時00分頃、千歳市美笛の国道276号線の春笛橋付近でクマの目撃情報がありました。十分ご注意ください。,2023.06 目撃,"美笛, 国道276号線, 国道276号",北海道 千歳市美笛の国道276号線の春笛橋付近,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%20%E5%8D%83%E6%AD%B3%E5%B8%82%E7%BE%8E%E7%AC%9B%E3%81%AE%E5%9B%BD%E9%81%93276%E5%8F%B7%E7%B7%9A%E3%81%AE%E6%98%A5%E7%AC%9B%E6%A9%8B%E4%BB%98%E8%BF%91,未確認,,
2023,27,6月17日(土曜日) 午後6時30分頃,千歳市美笛の道道支笏湖線（78号線）の美笛橋から南に約400メートル進んだ付近,目撃,6月17日(土曜日) 午後6時30分頃、千歳市美笛の道道支笏湖線（78号線）の美笛橋から南に約400メートル進んだ付近で東から西へ横断するクマの目撃情報がありました。十分ご注意ください。,2023.06 目撃,"美笛橋, 美笛, 支笏湖, 道道支笏湖線",北海道 千歳市美笛の道道支笏湖線（78号線）の美笛橋から南に約400メートル進んだ付近,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%20%E5%8D%83%E6%AD%B3%E5%B8%82%E7%BE%8E%E7%AC%9B%E3%81%AE%E9%81%93%E9%81%93%E6%94%AF%E7%AC%8F%E6%B9%96%E7%B7%9A%EF%BC%8878%E5%8F%B7%E7%B7%9A%EF%BC%89%E3%81%AE%E7%BE%8E%E7%AC%9B%E6%A9%8B%E3%81%8B%E3%82%89%E5%8D%97%E3%81%AB%E7%B4%84400%E3%83%A1%E3%83%BC%E3%83%88%E3%83%AB%E9%80%B2%E3%82%93%E3%81%A0%E4%BB%98%E8%BF%91,未確認,,
2023,25,6月16日(金曜日) 午前9時23分頃,千歳市美笛の国道276号から道道支笏湖線（78号線）を約500メートル進んだ付近,目撃,6月16日(金曜日) 午前9時23分頃、千歳市美笛の国道276号から道道支笏湖線（78号線）を約500メートル進んだ付近で東から西へ横断するクマの目撃情報がありました。十分ご注意ください。,2023.06 目撃,"美笛, 支笏湖, 道道支笏湖線, 国道276号",北海道 千歳市美笛の国道276号から道道支笏湖線（78号線）を約500メートル進んだ付近,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%20%E5%8D%83%E6%AD%B3%E5%B8%82%E7%BE%8E%E7%AC%9B%E3%81%AE%E5%9B%BD%E9%81%93276%E5%8F%B7%E3%81%8B%E3%82%89%E9%81%93%E9%81%93%E6%94%AF%E7%AC%8F%E6%B9%96%E7%B7%9A%EF%BC%8878%E5%8F%B7%E7%B7%9A%EF%BC%89%E3%82%92%E7%B4%84500%E3%83%A1%E3%83%BC%E3%83%88%E3%83%AB%E9%80%B2%E3%82%93%E3%81%A0%E4%BB%98%E8%BF%91,未確認,,
2023,21,6月12日(月曜日) 午前7時21分頃,千歳市美笛の国道276号の千歳橋から西へ約400メートル進んだ付近,目撃,6月12日(月曜日) 午前7時21分頃、千歳市美笛の国道276号の千歳橋から西へ約400メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,2023.06 目撃,"美笛, 国道276号, 千歳橋",北海道 千歳市美笛の国道276号の千歳橋から西へ約400メートル進んだ付近,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%20%E5%8D%83%E6%AD%B3%E5%B8%82%E7%BE%8E%E7%AC%9B%E3%81%AE%E5%9B%BD%E9%81%93276%E5%8F%B7%E3%81%AE%E5%8D%83%E6%AD%B3%E6%A9%8B%E3%81%8B%E3%82%89%E8%A5%BF%E3%81%B8%E7%B4%84400%E3%83%A1%E3%83%BC%E3%83%88%E3%83%AB%E9%80%B2%E3%82%93%E3%81%A0%E4%BB%98%E8%BF%91,未確認,,
2023,20,6月10日(土曜日) 午前9時21分頃,千歳市美笛の道道支笏湖線（78号線）の美笛橋から国道276号方面へ約200メートル進んだ付近,目撃,6月10日(土曜日) 午前9時21分頃、千歳市美笛の道道支笏湖線（78号線）の美笛橋から国道276号方面へ約200メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,2023.06 目撃,"美笛橋, 美笛, 支笏湖, 道道支笏湖線, 国道276号",北海道 千歳市美笛の道道支笏湖線（78号線）の美笛橋から国道276号方面へ約200メートル進んだ付近,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%20%E5%8D%83%E6%AD%B3%E5%B8%82%E7%BE%8E%E7%AC%9B%E3%81%AE%E9%81%93%E9%81%93%E6%94%AF%E7%AC%8F%E6%B9%96%E7%B7%9A%EF%BC%8878%E5%8F%B7%E7%B7%9A%EF%BC%89%E3%81%AE%E7%BE%8E%E7%AC%9B%E6%A9%8B%E3%81%8B%E3%82%89%E5%9B%BD%E9%81%93276%E5%8F%B7%E6%96%B9%E9%9D%A2%E3%81%B8%E7%B4%84200%E3%83%A1%E3%83%BC%E3%83%88%E3%83%AB%E9%80%B2%E3%82%93%E3%81%A0%E4%BB%98%E8%BF%91,未確認,,
2023,19,6月7日(水曜日) 午前11時10分頃,千歳市美笛の美笛キャンプ場入場ゲート手前約300メートル付近,目撃,6月7日(水曜日) 午前11時10分頃、千歳市美笛の美笛キャンプ場入場ゲート手前約300メートル付近でクマの目撃情報がありました。十分ご注意ください。,2023.06 目撃,"美笛キャンプ場, 美笛",北海道 千歳市美笛の美笛キャンプ場入場ゲート手前約300メートル付近,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%20%E5%8D%83%E6%AD%B3%E5%B8%82%E7%BE%8E%E7%AC%9B%E3%81%AE%E7%BE%8E%E7%AC%9B%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%97%E5%A0%B4%E5%85%A5%E5%A0%B4%E3%82%B2%E3%83%BC%E3%83%88%E6%89%8B%E5%89%8D%E7%B4%84300%E3%83%A1%E3%83%BC%E3%83%88%E3%83%AB%E4%BB%98%E8%BF%91,未確認,,
