source_year,record_no,date_text,location_text,category_text,body_text,pin_label_draft,matched_keywords,landmark_key,landmark_name,auto_lat,auto_lng,coordinate_source,coordinate_status,confirmed_lat,confirmed_lng,confirmed_location_memo,map_review_status,map_review_note,public_map_candidate
2025,51,9月24日(水曜日) 午後6時30分頃,千歳市美笛の国道276号から道道支笏湖線（78号線）へ約300メートル進んだ付近,目撃,9月24日(水曜日) 午後6時30分頃、千歳市美笛の国道276号から道道支笏湖線（78号線）へ約300メートル進んだ付近で東から西へ横断するクマの目撃情報がありました。十分ご注意ください。,2025.09 目撃,"美笛, 支笏湖, 道道支笏湖線, 国道276号",route_78_bifue_area,道道支笏湖線 美笛周辺,42.6996,141.3098,manual_landmark_table,仮,,,,未確認,,
2024,56,10月31日(木曜日) 午前5時30分頃,千歳市美笛の国道276号の美笛トンネル東側の駐車帯付近,目撃,10月31日(木曜日) 午前5時30分頃、千歳市美笛の国道276号の美笛トンネル東側の駐車帯付近で南から北へ横断するクマの目撃情報がありました。十分ご注意ください。,2024.10 目撃,"美笛トンネル, 美笛, 国道276号",bifue_tunnel,美笛トンネル,42.7005,141.2955,manual_landmark_table,仮,,,,未確認,,
2023,40,9月24日(日曜日) 午後7時50分頃,千歳市美笛の国道276号の美笛トンネルから伊達市方面へ約200メートル進んだ付近,目撃,9月24日(日曜日) 午後7時50分頃、千歳市美笛の国道276号の美笛トンネルから伊達市方面へ約200メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,2023.09 目撃,"美笛トンネル, 美笛, 国道276号",bifue_tunnel,美笛トンネル,42.7005,141.2955,manual_landmark_table,仮,,,,未確認,,
2023,32,7月10日(月曜日) 午前10時40分頃,千歳市美笛の道道支笏湖線（78号線）の美笛橋から南に約400メートル進んだ付近,目撃,7月10日(月曜日) 午前10時40分頃、千歳市美笛の道道支笏湖線（78号線）の美笛橋から南に約400メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,2023.07 目撃,"美笛橋, 美笛, 支笏湖, 道道支笏湖線",bifue_bridge,美笛橋,42.6990,141.3085,manual_landmark_table,仮,,,,未確認,,
2023,28,6月17日(土曜日) 午後7時00分頃,千歳市美笛の国道276号線の春笛橋付近,目撃,6月17日(土曜日) 午後7時00分頃、千歳市美笛の国道276号線の春笛橋付近でクマの目撃情報がありました。十分ご注意ください。,2023.06 目撃,"美笛, 国道276号線, 国道276号",harubue_bridge,春笛橋,42.6978,141.3128,manual_landmark_table,仮,,,,未確認,,
2023,27,6月17日(土曜日) 午後6時30分頃,千歳市美笛の道道支笏湖線（78号線）の美笛橋から南に約400メートル進んだ付近,目撃,6月17日(土曜日) 午後6時30分頃、千歳市美笛の道道支笏湖線（78号線）の美笛橋から南に約400メートル進んだ付近で東から西へ横断するクマの目撃情報がありました。十分ご注意ください。,2023.06 目撃,"美笛橋, 美笛, 支笏湖, 道道支笏湖線",bifue_bridge,美笛橋,42.6990,141.3085,manual_landmark_table,仮,,,,未確認,,
2023,25,6月16日(金曜日) 午前9時23分頃,千歳市美笛の国道276号から道道支笏湖線（78号線）を約500メートル進んだ付近,目撃,6月16日(金曜日) 午前9時23分頃、千歳市美笛の国道276号から道道支笏湖線（78号線）を約500メートル進んだ付近で東から西へ横断するクマの目撃情報がありました。十分ご注意ください。,2023.06 目撃,"美笛, 支笏湖, 道道支笏湖線, 国道276号",route_78_bifue_area,道道支笏湖線 美笛周辺,42.6996,141.3098,manual_landmark_table,仮,,,,未確認,,
2023,21,6月12日(月曜日) 午前7時21分頃,千歳市美笛の国道276号の千歳橋から西へ約400メートル進んだ付近,目撃,6月12日(月曜日) 午前7時21分頃、千歳市美笛の国道276号の千歳橋から西へ約400メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,2023.06 目撃,"美笛, 国道276号, 千歳橋",chitose_bridge,千歳橋,42.7018,141.3215,manual_landmark_table,仮,,,,未確認,,
2023,20,6月10日(土曜日) 午前9時21分頃,千歳市美笛の道道支笏湖線（78号線）の美笛橋から国道276号方面へ約200メートル進んだ付近,目撃,6月10日(土曜日) 午前9時21分頃、千歳市美笛の道道支笏湖線（78号線）の美笛橋から国道276号方面へ約200メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,2023.06 目撃,"美笛橋, 美笛, 支笏湖, 道道支笏湖線, 国道276号",bifue_bridge,美笛橋,42.6990,141.3085,manual_landmark_table,仮,,,,未確認,,
2023,19,6月7日(水曜日) 午前11時10分頃,千歳市美笛の美笛キャンプ場入場ゲート手前約300メートル付近,目撃,6月7日(水曜日) 午前11時10分頃、千歳市美笛の美笛キャンプ場入場ゲート手前約300メートル付近でクマの目撃情報がありました。十分ご注意ください。,2023.06 目撃,"美笛キャンプ場, 美笛",bifue_camp_gate,美笛キャンプ場入口,42.6948,141.3165,manual_landmark_table,仮,,,,未確認,,
2023,14,5月27日(土曜日) 午前10時50分頃,千歳市美笛の国道276号の千歳橋付近,目撃,5月27日(土曜日) 午前10時50分頃、千歳市美笛の国道276号の千歳橋付近でクマの目撃情報がありました。十分ご注意ください。,2023.05 目撃,"美笛, 国道276号, 千歳橋",chitose_bridge,千歳橋,42.7018,141.3215,manual_landmark_table,仮,,,,未確認,,
2022,24,8月25日(木曜日) 午前6時30分頃,千歳市美笛の道道支笏湖線（78号線）の美笛橋から国道276号線方面に約200メートル進んだ付近,目撃,8月25日(木曜日) 午前6時30分頃、千歳市美笛の道道支笏湖線（78号線）の美笛橋から国道276号線方面に約200メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,2022.08 目撃,"美笛橋, 美笛, 支笏湖, 道道支笏湖線, 国道276号線, 国道276号",bifue_bridge,美笛橋,42.6990,141.3085,manual_landmark_table,仮,,,,未確認,,
2021,42,9月6日(月曜日) 午後9時10分頃,千歳市美笛の国道276号線の千歳橋から千歳方面へ約100メートルの付近,目撃,9月6日(月曜日) 午後9時10分頃、千歳市美笛の国道276号線の千歳橋から千歳方面へ約100メートルの付近で北から南へ横断するクマの目撃情報がありました。十分ご注意ください。,2021.09 目撃,"美笛, 国道276号線, 国道276号, 千歳橋",chitose_bridge,千歳橋,42.7018,141.3215,manual_landmark_table,仮,,,,未確認,,
